,lr,train_loss,valid_loss
0,1e-05,0.4588346838572378,0.2493029126360676
1,1e-05,0.3062672784961194,0.18998127159651687
2,1e-05,0.24361674078739934,0.18351260584254203
3,1e-05,0.2202397534668911,0.15067819656091874
4,1e-05,0.19244745531279667,0.15674443838789487
5,1e-05,0.1774693923780887,0.14255079811268154
6,1e-05,0.17196738956382596,0.14592360693718243
7,1e-05,0.16672358914746901,0.14063706652524433
8,1e-05,0.16544865138507034,0.1444941107949546
9,1e-05,0.1544281875518103,0.13914984607762315
10,1e-05,0.14909334199495772,0.13428915030167793
11,1e-05,0.14320905794631353,0.148344699551637
12,1e-05,0.1452959492459009,0.1349907124547619
13,1.0000000000000002e-06,0.12333426559307298,0.12377840907972858
14,1.0000000000000002e-06,0.12275197594523647,0.12678537291477576
15,1.0000000000000002e-06,0.12000695263960709,0.13353292486152102
16,1.0000000000000002e-07,0.12029133693857465,0.12465812712153358
17,1.0000000000000002e-07,0.1190540992097101,0.12848505240725233
18,1.0000000000000004e-08,0.11675902402259918,0.1316852096189102
19,1.0000000000000004e-08,0.11442337766610526,0.12223539071084989
